0	U16	11/11/2019 9:00:00 AM		N430-0 N366-0 N350-0 N333-1 N107-0 N166-0
1	U86	11/11/2019 9:00:00 AM	N397 N31 N141 N65	N246-0 N113-0 N93-0 N70-0 N327-0 N484-0 N398-0 N24-1 N399-0 N134-0 N458-0 N300-0 N365-0 N453-0
2	U96	11/11/2019 9:00:00 AM	N235 N481 N401 N396	N10-0 N228-0 N329-0 N153-0 N480-0 N497-1 N361-0 N84-0
3	U8	11/11/2019 9:00:00 AM	N463 N377 N125 N244 N48 N235 N236 N459	N347-0 N94-0 N91-0 N481-0 N168-0 N33-0 N447-1 N368-0 N400-0 N255-0 N315-0 N388-0 N97-0 N373-1
4	U30	11/11/2019 9:00:00 AM	N363 N18 N263 N75 N360 N302 N215 N488	N0-0 N92-0 N365-0 N166-0 N474-0 N352-0 N73-0 N339-0 N204-0
5	U73	11/11/2019 9:00:00 AM	N373	N314-0 N461-0 N136-0 N328-0 N393-0 N176-0 N100-0 N483-0 N232-0 N108-0 N436-1 N41-0
6	U16	11/11/2019 9:00:00 AM	N355 N25 N174 N395 N334	N477-0 N156-0 N480-0 N371-0 N47-0 N429-0 N211-1 N258-0
7	U82	11/11/2019 9:00:00 AM	N53 N368 N407 N105 N337 N334 N308 N363 N223 N89 N40 N213 N75 N112 N87 N181	N279-0 N264-0 N457-0 N289-0 N347-0 N350-0 N135-0 N198-0 N427-0 N276-0 N148-0 N164-0 N379-0 N463-0
8	U3	11/11/2019 9:00:00 AM	N385 N121 N420 N272 N442 N487 N220 N264 N455 N371 N463 N351 N143 N119 N232 N160 N183	N294-0 N214-0 N244-0 N78-0 N218-0 N310-0 N312-0 N56-0 N295-0
9	U52	11/11/2019 9:00:00 AM	N258 N79 N108 N207 N103 N300 N291	N368-0 N307-0 N482-0 N42-0 N389-0 N454-1 N44-0
10	U7	11/11/2019 9:00:00 AM	N259 N407 N450 N30 N243 N372 N384 N180 N323	N86-0 N363-0 N383-0 N15-0 N163-0 N125-1
11	U19	11/11/2019 9:00:00 AM	N229 N162 N114 N291 N413 N116 N399 N475 N78 N484 N434	N75-0 N292-0 N178-0 N364-0 N48-0 N418-0 N385-0 N422-0 N435-0 N387-0 N246-0 N35-0 N486-0
